SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;5;864.667000;sentinel3_olci;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;400.0, 412.5, 442.5, 490.0, 510.0, 560.0, 620.0, 665.0, 673.75, 681.25, 708.75, 753.75, 761.25, 764.375, 767.5, 778.75, 865.0, 885.0, 900.0, 940.0, 1020.0;-1.05785658632e-05, 0.000639884700306, -0.0029082734239, 0.00129992640737, 0.00968491574466, -0.011231927295, 0.00350492265466, -0.00452201264541, 0.0213878362251, -0.0146680430297, -0.00298453513409, 3.77553720341e-05, -0.00125772032363, 0.0358972470178, -0.0526470130935, -0.00611900974292, 0.03154801969, 1.02627487491, -0.0347428743519, -0.0048532470291, 0.00464137823984, 0.00097085924611;-2365.566113;0.000000
landsat8_oli;5;864.667000;sentinel2;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;443.929444843, 496.541069687, 560.006374949, 664.4491622, 703.886978943, 740.223452517, 782.473511978, 835.110186795, 864.80125832, 945.027529483, 1373.46188255, 1613.65940666, 2202.36668717;2.19851647528e-05, 0.000346918890239, -0.000927540077432, 0.000503892948348, -0.000230380408694, 0.000544305997185, -0.000790273443772, -0.000458446269096, 0.0200463606081, 0.978002166381, 0.00289705541803, -7.15486447099e-05, 0.000222383578724, -0.000242119253868;-2390.799336;0.000000
landsat8_oli;5;864.667000;sentinel3_slstr;0, 1, 2, 3, 4, 5;555.0, 659.0, 865.0, 1375.0, 1610.0, 2250.0;-0.00014920727559, 0.00330027546158, 0.0015977598344, 1.00024229497, 0.000356682057812, -0.00807922041339, 0.00523918890907;-1751.139901;0.000000
landsat8_oli;5;864.667000;aqua;2, 3, 0, 1, 4, 5, 6;466.07150204, 553.917076647, 645.8403499, 856.877853417, 1241.49758039, 1628.08776832, 2113.99922695;-1.88707544744e-05, 0.0167907553389, -0.0243879821235, 0.000549417399991, 0.997026106133, 0.0104305287205, 0.00735860743268, -0.00748674652248;-1548.622359;0.000000
landsat8_oli;5;864.667000;landsat5_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;0.00103442530795, 0.0519678370514, -0.132370172425, 0.0460269603355, 1.00284241646, 0.0892222170544, -0.0793670393927;-1192.964567;0.000005
landsat8_oli;5;864.667000;landsat5_mss;0, 1, 2, 3;550.0, 650.0, 750.0, 950.0;-0.00509619002005, -0.00881489536094, -0.174635818358, 0.553870075864, 0.614676489216;-913.009836;0.000047
landsat8_oli;5;864.667000;terra;2, 3, 0, 1, 4, 5, 6;465.742398799, 553.736229817, 646.295673296, 856.47984028, 1242.16286011, 1629.40788053, 2114.21403827;-2.44714307144e-05, 0.0175949873911, -0.0255772479133, 0.000634486158647, 0.99672272952, 0.0111628085951, 0.00760814503488, -0.00786064930527;-1536.730937;0.000000
landsat8_oli;5;864.667000;vgt;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;0.00149109122426, -0.0481622841471, -0.0209652914766, 1.00369444486, 0.0376689654212;-1122.562225;0.000009
landsat8_oli;5;864.667000;landsat8_tirs;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;0.00149109122426, -0.0481622841471, -0.0209652914766, 1.00369444486, 0.0376689654212;-1122.562225;0.000009
landsat8_oli;5;864.667000;landsat4_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;0.0009680364863, 0.0496281209454, -0.12809609086, 0.0457079293054, 1.00308724771, 0.0849472923123, -0.0756444224703;-1203.067131;0.000004
